,No,PR No,PR Url,PR Status,PR Contributors,Active PR Time,Active time(in Seconds)
483,271,483,https://github.com//HarshCasper/Rotten-Scripts/pull/387,Merged,['HarshCasper'],14 days 20:58:10.000000000,1285090.0
485,272,485,https://github.com//HarshCasper/Rotten-Scripts/pull/385,Merged,"['eternal-dreamer', 'HarshCasper']",6 days 10:21:07.000000000,555667.0
486,273,486,https://github.com//HarshCasper/Rotten-Scripts/pull/383,Merged,"['kaustubhgupta', 'HarshCasper']",4 days 06:59:28.000000000,370768.0
487,274,487,https://github.com//HarshCasper/Rotten-Scripts/pull/380,Merged,"['kaustubhgupta', 'HarshCasper']",4 days 06:59:12.000000000,370752.0
488,275,488,https://github.com//HarshCasper/Rotten-Scripts/pull/379,Merged,"['AdityaJ7', 'HarshCasper']",2 days 01:49:34.000000000,179374.0
489,276,489,https://github.com//HarshCasper/Rotten-Scripts/pull/376,Merged,"['AdityaJ7', 'HarshCasper']",2 days 01:24:23.000000000,177863.0
490,277,490,https://github.com//HarshCasper/Rotten-Scripts/pull/370,Merged,"['kritikaparmar-programmer', 'HarshCasper']",8 days 11:18:29.000000000,731909.0
491,278,491,https://github.com//HarshCasper/Rotten-Scripts/pull/365,Merged,"['mandirarama', 'HarshCasper']",11 days 12:27:15.000000000,995235.0
492,279,492,https://github.com//HarshCasper/Rotten-Scripts/pull/364,Merged,"['rohankumawat', 'HarshCasper']",5 days 18:54:53.000000000,500093.0
493,280,493,https://github.com//HarshCasper/Rotten-Scripts/pull/363,Merged,['HarshCasper'],5 days 20:28:03.000000000,505683.0
494,281,494,https://github.com//HarshCasper/Rotten-Scripts/pull/362,Merged,"['kaustubhgupta', 'HarshCasper']",11 days 16:15:00.000000000,1008900.0
495,282,495,https://github.com//HarshCasper/Rotten-Scripts/pull/359,Merged,"['narayan2111', 'HarshCasper']",1 days 01:22:08.000000000,91328.0
498,283,498,https://github.com//HarshCasper/Rotten-Scripts/pull/354,Merged,"['rutujadhanawade', 'HarshCasper']",12 days 18:21:34.000000000,1102894.0
